eventCode,Day,action,month,notes,,,,,,,,
,30,,october,,,,,,,,,
,31,,october,,,,,,,,,
,1,,november,,,,,,,,,
,2,,november,,,,,,,,,
,3,,november,,,,,,,,,
,4,,november,,,,,,,,,
,5,,november,,,,,,,,,
,6,,november,,,,,,,,,
,7,,november,,,,,,,,,
,8,event,november,NAIDOC WEEK,,,,,,,,
,9,,november,,,,,,,,,
,10,,november,,,,,,,,,
,11,,november,,,,,,,,,
,12,,november,,,,,,,,,
,13,,november,,,,,,,,,
,14,,november,,,,,,,,,
,15,,november,,,,,,,,,
,16,,november,,,,,,,,,
,17,,november,,,,,,,,,
,18,meeting,november,Academic Board (Josh/Majid),,,,,,,,
,19,,november,,,,,,,,,
,20,,november,,,,,,,,,
,21,,november,,,,,,,,,
,22,,november,,,,,,,,,
,23,,november,,,,,,,,,
,24,,november,,,,,,,,,
,25,,november,,,,,,,,,
,26,,november,,,,,,,,,
,27,,november,,,,,,,,,
,28,,november,,,,,,,,,
,29,,november,,,,,,,,,
,30,,november,,,,,,,,,
,31,,november,,,,,,,,,
,1,,december,,,,,,,,,
,2,meeting,december,UEC (Josephine),,,,,,,,
,3,,december,,,,,,,,,
,4,,december,,,,,,,,,
,5,,december,,,,,,,,,
,6,,december,,,,,,,,,
,7,,december,,,,,,,,,
,8,,december,,,,,,,,,
,9,,december,,,,,,,,,
,10,,december,,,,,,,,,
,11,meeting,december,Council (Emma/Anthony),,,,,,,,
,12,,december,,,,,,,,,
,13,,december,,,,,,,,,
,14,,december,,,,,,,,,
,15,,december,,,,,,,,,
,16,,december,,,,,,,,,
,17,,december,,,,,,,,,
,18,,december,,,,,,,,,
,19,,december,,,,,,,,,
,20,,december,,,,,,,,,
,21,,december,,,,,,,,,
,22,,december,,,,,,,,,
,23,,december,,,,,,,,,
,24,,december,,,,,,,,,
,25,,december,,,,,,,,,
,26,,december,,,,,,,,,
,27,,december,,,,,,,,,
,28,,december,,,,,,,,,
,29,,december,,,,,,,,,
,30,,december,,,,,,,,,
,31,,december,,,,,,,,,
